Paper,Year,Dataset,Model Type,Missingness Handling,Organ Modeling,Hybrid,Utility Score,AUROC,Gap Addressed
"Reyna et al. (CinC 2019 winner)",2019,PhysioNet 2019,Ensemble + clinical features,Forward-fill,None,No,0.416,0.83,"Competition baseline; no temporal modeling"
"Scherpf et al.",2019,PhysioNet 2019,Random Forest + hand-crafted features,Forward-fill,Partial (SOFA-like),No,0.390,0.81,"Hand-crafted scores; not learnable"
"Shashikumar et al. (AISE)",2017,MIMIC-III,Multiscale LSTM,Carry-forward,None,No,N/A,0.88,"LSTM without organ structure"
"Moor et al. (Early Warning)",2019,MIMIC-III / eICU,GRU-D (GRU with decay),Temporal decay,None,No,N/A,0.87,"Missingness decay only; no organ grouping"
"Che et al. (GRU-D)",2018,MIMIC-III,GRU with decay,Learned decay + mean imputation,None,No,N/A,0.86,"First principled missingness-aware RNN"
"Horn et al. (Set Functions)",2020,MIMIC-III / PhysioNet 2012,Set Function Networks,Set encoding of irregular obs,None,No,N/A,0.88,"Irregular time handled; no organ structure"
"Zhang et al. (SAnD)",2018,MIMIC-III,Self-attention + dense interpolation,Interpolation,None,No,N/A,0.85,"Transformer variant; imputation-based"
"Tipirneni & Reddy (Self-supervised)",2022,PhysioNet 2019 / MIMIC,Self-supervised Transformer,Masking as pretraining,None,No,N/A,0.88,"SSL pretraining; no domain knowledge"
"Lim et al. (TFT)",2021,Various,Temporal Fusion Transformer,Learned embeddings,None,No,N/A,0.86,"General-purpose; not sepsis-specific"
"Wu et al. (HALO)",2023,MIMIC-IV,Hierarchical Transformer,Attention masking,Partial,Yes,N/A,0.90,"Hierarchy exists but not organ-physiological"
"Huang et al. (GRASP)",2021,MIMIC-III,Graph + GRU,Graph adjacency for features,None,Implicit,No,N/A,0.87,"Graph edges not organ-defined"
"Zhang et al. (IP-Net)",2019,MIMIC-III,Interpolation + RNN,Kernel interpolation,None,No,N/A,0.87,"Interpolation before RNN; information loss"
"Shickel et al. (DeepSOFA)",2019,Emory ICU,LSTM,Forward-fill,Partial (SOFA vars),No,N/A,0.88,"SOFA-guided; uses GCS+vasopressors (unavailable in CinC)"
"Komorowski et al. (AI Clinician)",2018,MIMIC-III,Reinforcement Learning,Forward-fill,None,No,N/A,N/A,"RL for treatment; not early warning"
"Li & Marlin (Time series missing)",2020,MIMIC-III,Variational RNN,Latent variable imputation,None,No,N/A,0.85,"Generative imputation; decoder overhead"
"Futoma et al. (MGP-RNN)",2017,Duke ICU,Gaussian Process + RNN,GP interpolation,None,No,N/A,0.89,"GP interpolation expensive; no organ struct"
"Alsentzer et al. (Med-BERT)",2023,Various EHR,BERT-style LLM,Masking,None,No,N/A,0.88,"LLM; heavy; no organ-specific inductive bias"
"Yin et al. (MTGNN)",2021,Various,Graph Neural Network + Temporal,Adjacency masking,None,Partial,No,N/A,0.86,"Graph learned; not domain-structured"
"Raghavan & Bhaskaran",2022,PhysioNet 2019,XGBoost + feature engineering,Forward-fill,Shock index,No,0.38,0.84,"Simple baseline; no temporal model"
"Chen et al. (LSTM-GAT)",2025,PhysioNet 2019,LSTM + Graph Attention Network,Adjacency masking,None,Partial,-,-,0.853,"Graph edges learned; not organ-physiological; no time-delta modeling"
"Li et al. (TTE)",2026,PhysioNet 2019,Temporal Transformer Encoder,Forward-fill,None,No,-,-,0.832,"Standard Transformer; no explicit missingness handling"
"Wang et al. (TCN-TabTransformer)",2025,PhysioNet 2019,TCN + Tabular Transformer,Interpolation,None,Yes,-,0.884-0.92,"Strong at 4-6h; imputation-based; no time-delta modeling"
"Proposed: M3 (Time-Aware Transformer)",2026,PhysioNet 2019,Transformer + Mask + Delta triplet embedding,Explicit mask + time-delta (no imputation),None,No,-0.9932,0.9697 ± 0.0008,"Time-aware triplet; highest AUROC; 5.7h lead time; ECE 0.039"
